code,area,year,number_of_jobs,job_density,gcode,lat,lon
E09000033,Westminster,2008,639000,3.89,E09000033,51.4974,-0.136655
E09000001,City of London,2009,362000,61.72,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2009,47000,0.42,E09000002,51.5636,0.152614
E09000003,Barnet,2009,143000,0.63,E09000003,51.5878,-0.229105
E09000004,Bexley,2009,73000,0.5,E09000004,51.5524,-0.30256
E09000005,Brent,2009,110000,0.53,E09000005,51.4042,0.01998
E09000006,Bromley,2009,119000,0.61,E09000006,51.4042,0.01998
E09000007,Camden,2009,309000,1.99,E09000007,51.5275,-0.124663
E09000008,Croydon,2009,134000,0.57,E09000008,51.3726,-0.096801
E09000009,Ealing,2009,128000,0.56,E09000009,51.6537,-0.080609
E09000010,Enfield,2009,107000,0.54,E09000010,51.6537,-0.080609
E09000011,Greenwich,2009,80000,0.49,E09000011,51.4893,0.0647926
E09000012,Hackney,2009,101000,0.6,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2009,132000,0.98,E09000013,51.5064,-0.137447
E09000014,Haringey,2009,75000,0.42,E09000014,51.6002,-0.111927
E09000015,Harrow,2009,77000,0.5,E09000015,51.5846,-0.332159
E09000016,Havering,2009,80000,0.54,E09000016,51.5817,0.186821
E09000017,Hillingdon,2009,197000,1.12,E09000017,51.5289,-0.481374
E09000018,Hounslow,2009,138000,0.82,E09000018,51.4984,-0.1284
E09000019,Islington,2009,206000,1.4,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2009,129000,1.1,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2009,84000,0.78,E09000021,51.4029,-0.256523
E09000022,Lambeth,2009,149000,0.69,E09000022,51.4603,-0.11663
E09000023,Lewisham,2009,75000,0.4,E09000023,51.447,-0.0187319
E09000024,Merton,2009,79000,0.58,E09000024,51.3985,-0.1986
E09000025,Newham,2009,80000,0.41,E09000025,51.533,0.0540634
E09000026,Redbridge,2009,79000,0.45,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2009,84000,0.68,E09000027,51.4479,-0.326159
E09000028,Southwark,2009,236000,1.15,E09000028,51.4737,-0.0821115
E09000029,Sutton,2009,72000,0.58,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2009,217000,1.23,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2009,69000,0.41,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2009,125000,0.56,E09000032,51.4572,-0.194519
E09000033,Westminster,2009,640000,3.95,E09000033,51.4974,-0.136655
E09000001,City of London,2010,388000,68.16,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2010,51000,0.44,E09000002,51.5636,0.152614
E09000003,Barnet,2010,141000,0.61,E09000003,51.5878,-0.229105
E09000004,Bexley,2010,77000,0.53,E09000004,51.5524,-0.30256
E09000005,Brent,2010,114000,0.54,E09000005,51.4042,0.01998
E09000006,Bromley,2010,120000,0.61,E09000006,51.4042,0.01998
E09000007,Camden,2010,307000,1.97,E09000007,51.5275,-0.124663
E09000008,Croydon,2010,138000,0.58,E09000008,51.3726,-0.096801
E09000009,Ealing,2010,128000,0.55,E09000009,51.6537,-0.080609
E09000010,Enfield,2010,112000,0.56,E09000010,51.6537,-0.080609
E09000011,Greenwich,2010,82000,0.49,E09000011,51.4893,0.0647926
E09000012,Hackney,2010,101000,0.58,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2010,139000,1.03,E09000013,51.5064,-0.137447
E09000014,Haringey,2010,72000,0.4,E09000014,51.6002,-0.111927
E09000015,Harrow,2010,78000,0.5,E09000015,51.5846,-0.332159
E09000016,Havering,2010,82000,0.55,E09000016,51.5817,0.186821
E09000017,Hillingdon,2010,192000,1.08,E09000017,51.5289,-0.481374
E09000018,Hounslow,2010,143000,0.83,E09000018,51.4984,-0.1284
E09000019,Islington,2010,197000,1.32,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2010,129000,1.11,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2010,85000,0.78,E09000021,51.4029,-0.256523
E09000022,Lambeth,2010,151000,0.68,E09000022,51.4603,-0.11663
E09000023,Lewisham,2010,73000,0.38,E09000023,51.447,-0.0187319
E09000024,Merton,2010,78000,0.57,E09000024,51.3985,-0.1986
E09000025,Newham,2010,80000,0.38,E09000025,51.533,0.0540634
E09000026,Redbridge,2010,78000,0.43,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2010,85000,0.68,E09000027,51.4479,-0.326159
E09000028,Southwark,2010,228000,1.09,E09000028,51.4737,-0.0821115
E09000029,Sutton,2010,73000,0.59,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2010,223000,1.22,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2010,66000,0.38,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2010,118000,0.52,E09000032,51.4572,-0.194519
E09000033,Westminster,2010,644000,4,E09000033,51.4974,-0.136655
E09000001,City of London,2011,436000,75.79,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2011,54000,0.45,E09000002,51.5636,0.152614
E09000003,Barnet,2011,147000,0.62,E09000003,51.5878,-0.229105
E09000004,Bexley,2011,78000,0.53,E09000004,51.5524,-0.30256
E09000005,Brent,2011,115000,0.53,E09000005,51.4042,0.01998
E09000006,Bromley,2011,119000,0.61,E09000006,51.4042,0.01998
E09000007,Camden,2011,331000,2.06,E09000007,51.5275,-0.124663
E09000008,Croydon,2011,136000,0.56,E09000008,51.3726,-0.096801
E09000009,Ealing,2011,148000,0.63,E09000009,51.6537,-0.080609
E09000010,Enfield,2011,110000,0.54,E09000010,51.6537,-0.080609
E09000011,Greenwich,2011,81000,0.47,E09000011,51.4893,0.0647926
E09000012,Hackney,2011,113000,0.63,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2011,140000,1.03,E09000013,51.5064,-0.137447
E09000014,Haringey,2011,74000,0.41,E09000014,51.6002,-0.111927
E09000015,Harrow,2011,76000,0.48,E09000015,51.5846,-0.332159
E09000016,Havering,2011,82000,0.55,E09000016,51.5817,0.186821
E09000017,Hillingdon,2011,202000,1.11,E09000017,51.5289,-0.481374
E09000018,Hounslow,2011,150000,0.85,E09000018,51.4984,-0.1284
E09000019,Islington,2011,201000,1.29,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2011,137000,1.2,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2011,80000,0.73,E09000021,51.4029,-0.256523
E09000022,Lambeth,2011,150000,0.66,E09000022,51.4603,-0.11663
E09000023,Lewisham,2011,75000,0.39,E09000023,51.447,-0.0187319
E09000024,Merton,2011,86000,0.62,E09000024,51.3985,-0.1986
E09000025,Newham,2011,89000,0.41,E09000025,51.533,0.0540634
E09000026,Redbridge,2011,77000,0.42,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2011,95000,0.76,E09000027,51.4479,-0.326159
E09000028,Southwark,2011,247000,1.16,E09000028,51.4737,-0.0821115
E09000029,Sutton,2011,78000,0.62,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2011,251000,1.32,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2011,71000,0.4,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2011,125000,0.55,E09000032,51.4572,-0.194519
E09000033,Westminster,2011,674000,4.16,E09000033,51.4974,-0.136655
E09000001,City of London,2012,449000,92.41,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2012,55000,0.46,E09000002,51.5636,0.152614
E09000003,Barnet,2012,154000,0.65,E09000003,51.5878,-0.229105
E09000004,Bexley,2012,78000,0.53,E09000004,51.5524,-0.30256
E09000005,Brent,2012,123000,0.57,E09000005,51.4042,0.01998
E09000006,Bromley,2012,122000,0.62,E09000006,51.4042,0.01998
E09000007,Camden,2012,344000,2.12,E09000007,51.5275,-0.124663
E09000008,Croydon,2012,141000,0.58,E09000008,51.3726,-0.096801
E09000009,Ealing,2012,148000,0.64,E09000009,51.6537,-0.080609
E09000010,Enfield,2012,117000,0.57,E09000010,51.6537,-0.080609
E09000011,Greenwich,2012,82000,0.46,E09000011,51.4893,0.0647926
E09000012,Hackney,2012,112000,0.62,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2012,147000,1.09,E09000013,51.5064,-0.137447
E09000014,Haringey,2012,80000,0.44,E09000014,51.6002,-0.111927
E09000015,Harrow,2012,79000,0.5,E09000015,51.5846,-0.332159
E09000016,Havering,2012,84000,0.56,E09000016,51.5817,0.186821
E09000017,Hillingdon,2012,213000,1.15,E09000017,51.5289,-0.481374
E09000018,Hounslow,2012,160000,0.9,E09000018,51.4984,-0.1284
E09000019,Islington,2012,206000,1.3,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2012,144000,1.28,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2012,81000,0.73,E09000021,51.4029,-0.256523
E09000022,Lambeth,2012,152000,0.66,E09000022,51.4603,-0.11663
E09000023,Lewisham,2012,78000,0.4,E09000023,51.447,-0.0187319
E09000024,Merton,2012,89000,0.65,E09000024,51.3985,-0.1986
E09000025,Newham,2012,97000,0.44,E09000025,51.533,0.0540634
E09000026,Redbridge,2012,88000,0.47,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2012,92000,0.74,E09000027,51.4479,-0.326159
E09000028,Southwark,2012,270000,1.25,E09000028,51.4737,-0.0821115
E09000029,Sutton,2012,79000,0.63,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2012,253000,1.3,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2012,77000,0.43,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2012,136000,0.59,E09000032,51.4572,-0.194519
E09000033,Westminster,2012,698000,4.26,E09000033,51.4974,-0.136655
E09000001,City of London,2013,463000,110.98,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2013,54000,0.44,E09000002,51.5636,0.152614
E09000003,Barnet,2013,159000,0.66,E09000003,51.5878,-0.229105
E09000004,Bexley,2013,80000,0.54,E09000004,51.5524,-0.30256
E09000005,Brent,2013,125000,0.57,E09000005,51.4042,0.01998
E09000006,Bromley,2013,129000,0.64,E09000006,51.4042,0.01998
E09000007,Camden,2013,355000,2.15,E09000007,51.5275,-0.124663
E09000008,Croydon,2013,130000,0.53,E09000008,51.3726,-0.096801
E09000009,Ealing,2013,152000,0.65,E09000009,51.6537,-0.080609
E09000010,Enfield,2013,118000,0.57,E09000010,51.6537,-0.080609
E09000011,Greenwich,2013,86000,0.48,E09000011,51.4893,0.0647926
E09000012,Hackney,2013,111000,0.6,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2013,141000,1.05,E09000013,51.5064,-0.137447
E09000014,Haringey,2013,84000,0.46,E09000014,51.6002,-0.111927
E09000015,Harrow,2013,78000,0.5,E09000015,51.5846,-0.332159
E09000016,Havering,2013,91000,0.6,E09000016,51.5817,0.186821
E09000017,Hillingdon,2013,213000,1.14,E09000017,51.5289,-0.481374
E09000018,Hounslow,2013,167000,0.94,E09000018,51.4984,-0.1284
E09000019,Islington,2013,220000,1.36,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2013,141000,1.27,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2013,80000,0.72,E09000021,51.4029,-0.256523
E09000022,Lambeth,2013,168000,0.72,E09000022,51.4603,-0.11663
E09000023,Lewisham,2013,82000,0.41,E09000023,51.447,-0.0187319
E09000024,Merton,2013,96000,0.69,E09000024,51.3985,-0.1986
E09000025,Newham,2013,104000,0.46,E09000025,51.533,0.0540634
E09000026,Redbridge,2013,84000,0.45,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2013,95000,0.76,E09000027,51.4479,-0.326159
E09000028,Southwark,2013,256000,1.17,E09000028,51.4737,-0.0821115
E09000029,Sutton,2013,77000,0.61,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2013,269000,1.33,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2013,81000,0.45,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2013,134000,0.58,E09000032,51.4572,-0.194519
E09000033,Westminster,2013,717000,4.39,E09000033,51.4974,-0.136655
E09000001,City of London,2014,498000,121.23,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2014,59000,0.47,E09000002,51.5636,0.152614
E09000003,Barnet,2014,165000,0.68,E09000003,51.5878,-0.229105
E09000004,Bexley,2014,80000,0.53,E09000004,51.5524,-0.30256
E09000005,Brent,2014,131000,0.6,E09000005,51.4042,0.01998
E09000006,Bromley,2014,127000,0.63,E09000006,51.4042,0.01998
E09000007,Camden,2014,379000,2.25,E09000007,51.5275,-0.124663
E09000008,Croydon,2014,142000,0.58,E09000008,51.3726,-0.096801
E09000009,Ealing,2014,159000,0.69,E09000009,51.6537,-0.080609
E09000010,Enfield,2014,127000,0.61,E09000010,51.6537,-0.080609
E09000011,Greenwich,2014,95000,0.52,E09000011,51.4893,0.0647926
E09000012,Hackney,2014,131000,0.69,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2014,148000,1.12,E09000013,51.5064,-0.137447
E09000014,Haringey,2014,90000,0.48,E09000014,51.6002,-0.111927
E09000015,Harrow,2014,89000,0.56,E09000015,51.5846,-0.332159
E09000016,Havering,2014,90000,0.59,E09000016,51.5817,0.186821
E09000017,Hillingdon,2014,220000,1.15,E09000017,51.5289,-0.481374
E09000018,Hounslow,2014,164000,0.91,E09000018,51.4984,-0.1284
E09000019,Islington,2014,231000,1.39,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2014,141000,1.28,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2014,82000,0.73,E09000021,51.4029,-0.256523
E09000022,Lambeth,2014,180000,0.76,E09000022,51.4603,-0.11663
E09000023,Lewisham,2014,88000,0.43,E09000023,51.447,-0.0187319
E09000024,Merton,2014,97000,0.7,E09000024,51.3985,-0.1986
E09000025,Newham,2014,112000,0.48,E09000025,51.533,0.0540634
E09000026,Redbridge,2014,89000,0.47,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2014,95000,0.76,E09000027,51.4479,-0.326159
E09000028,Southwark,2014,282000,1.27,E09000028,51.4737,-0.0821115
E09000029,Sutton,2014,78000,0.61,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2014,278000,1.32,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2014,84000,0.46,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2014,134000,0.57,E09000032,51.4572,-0.194519
E09000033,Westminster,2014,737000,4.45,E09000033,51.4974,-0.136655
E09000001,City of London,2015,541000,121.73,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2015,62000,0.48,E09000002,51.5636,0.152614
E09000003,Barnet,2015,168000,0.68,E09000003,51.5878,-0.229105
E09000004,Bexley,2015,86000,0.57,E09000004,51.5524,-0.30256
E09000005,Brent,2015,136000,0.62,E09000005,51.4042,0.01998
E09000006,Bromley,2015,124000,0.61,E09000006,51.4042,0.01998
E09000007,Camden,2015,383000,2.21,E09000007,51.5275,-0.124663
E09000008,Croydon,2015,144000,0.58,E09000008,51.3726,-0.096801
E09000009,Ealing,2015,163000,0.71,E09000009,51.6537,-0.080609
E09000010,Enfield,2015,133000,0.63,E09000010,51.6537,-0.080609
E09000011,Greenwich,2015,96000,0.51,E09000011,51.4893,0.0647926
E09000012,Hackney,2015,136000,0.7,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2015,154000,1.16,E09000013,51.5064,-0.137447
E09000014,Haringey,2015,93000,0.49,E09000014,51.6002,-0.111927
E09000015,Harrow,2015,88000,0.55,E09000015,51.5846,-0.332159
E09000016,Havering,2015,93000,0.6,E09000016,51.5817,0.186821
E09000017,Hillingdon,2015,202000,1.04,E09000017,51.5289,-0.481374
E09000018,Hounslow,2015,187000,1.04,E09000018,51.4984,-0.1284
E09000019,Islington,2015,250000,1.46,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2015,150000,1.36,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2015,95000,0.82,E09000021,51.4029,-0.256523
E09000022,Lambeth,2015,185000,0.77,E09000022,51.4603,-0.11663
E09000023,Lewisham,2015,83000,0.4,E09000023,51.447,-0.0187319
E09000024,Merton,2015,98000,0.7,E09000024,51.3985,-0.1986
E09000025,Newham,2015,114000,0.48,E09000025,51.533,0.0540634
E09000026,Redbridge,2015,92000,0.47,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2015,102000,0.82,E09000027,51.4479,-0.326159
E09000028,Southwark,2015,289000,1.28,E09000028,51.4737,-0.0821115
E09000029,Sutton,2015,80000,0.62,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2015,298000,1.37,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2015,86000,0.47,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2015,144000,0.61,E09000032,51.4572,-0.194519
E09000033,Westminster,2015,756000,4.42,E09000033,51.4974,-0.136655
E09000001,City of London,2016,574000,119.44,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2016,64000,0.48,E09000002,51.5636,0.152614
E09000003,Barnet,2016,167000,0.67,E09000003,51.5878,-0.229105
E09000004,Bexley,2016,88000,0.57,E09000004,51.5524,-0.30256
E09000005,Brent,2016,142000,0.64,E09000005,51.4042,0.01998
E09000006,Bromley,2016,125000,0.61,E09000006,51.4042,0.01998
E09000007,Camden,2016,397000,2.25,E09000007,51.5275,-0.124663
E09000008,Croydon,2016,145000,0.58,E09000008,51.3726,-0.096801
E09000009,Ealing,2016,166000,0.72,E09000009,51.6537,-0.080609
E09000010,Enfield,2016,131000,0.61,E09000010,51.6537,-0.080609
E09000011,Greenwich,2016,95000,0.5,E09000011,51.4893,0.0647926
E09000012,Hackney,2016,149000,0.76,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2016,157000,1.2,E09000013,51.5064,-0.137447
E09000014,Haringey,2016,91000,0.48,E09000014,51.6002,-0.111927
E09000015,Harrow,2016,89000,0.56,E09000015,51.5846,-0.332159
E09000016,Havering,2016,97000,0.61,E09000016,51.5817,0.186821
E09000017,Hillingdon,2016,206000,1.05,E09000017,51.5289,-0.481374
E09000018,Hounslow,2016,196000,1.09,E09000018,51.4984,-0.1284
E09000019,Islington,2016,255000,1.46,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2016,149000,1.39,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2016,93000,0.81,E09000021,51.4029,-0.256523
E09000022,Lambeth,2016,174000,0.72,E09000022,51.4603,-0.11663
E09000023,Lewisham,2016,82000,0.39,E09000023,51.447,-0.0187319
E09000024,Merton,2016,99000,0.72,E09000024,51.3985,-0.1986
E09000025,Newham,2016,118000,0.48,E09000025,51.533,0.0540634
E09000026,Redbridge,2016,90000,0.46,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2016,102000,0.82,E09000027,51.4479,-0.326159
E09000028,Southwark,2016,295000,1.29,E09000028,51.4737,-0.0821115
E09000029,Sutton,2016,82000,0.63,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2016,299000,1.35,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2016,87000,0.47,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2016,144000,0.62,E09000032,51.4572,-0.194519
E09000033,Westminster,2016,758000,4.38,E09000033,51.4974,-0.136655
E09000001,City of London,2017,628000,125.12,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2017,65000,0.49,E09000002,51.5636,0.152614
E09000003,Barnet,2017,177000,0.71,E09000003,51.5878,-0.229105
E09000004,Bexley,2017,90000,0.58,E09000004,51.5524,-0.30256
E09000005,Brent,2017,156000,0.71,E09000005,51.4042,0.01998
E09000006,Bromley,2017,134000,0.65,E09000006,51.4042,0.01998
E09000007,Camden,2017,398000,2.22,E09000007,51.5275,-0.124663
E09000008,Croydon,2017,155000,0.62,E09000008,51.3726,-0.096801
E09000009,Ealing,2017,168000,0.74,E09000009,51.6537,-0.080609
E09000010,Enfield,2017,126000,0.59,E09000010,51.6537,-0.080609
E09000011,Greenwich,2017,101000,0.53,E09000011,51.4893,0.0647926
E09000012,Hackney,2017,138000,0.7,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2017,156000,1.19,E09000013,51.5064,-0.137447
E09000014,Haringey,2017,92000,0.48,E09000014,51.6002,-0.111927
E09000015,Harrow,2017,98000,0.62,E09000015,51.5846,-0.332159
E09000016,Havering,2017,102000,0.64,E09000016,51.5817,0.186821
E09000017,Hillingdon,2017,215000,1.09,E09000017,51.5289,-0.481374
E09000018,Hounslow,2017,187000,1.04,E09000018,51.4984,-0.1284
E09000019,Islington,2017,247000,1.4,E09000019,51.4984,-0.1284
E09000020,Kensington and Chelsea,2017,165000,1.56,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2017,100000,0.86,E09000021,51.4029,-0.256523
E09000022,Lambeth,2017,187000,0.78,E09000022,51.4603,-0.11663
E09000023,Lewisham,2017,87000,0.41,E09000023,51.447,-0.0187319
E09000024,Merton,2017,105000,0.76,E09000024,51.3985,-0.1986
E09000025,Newham,2017,125000,0.51,E09000025,51.533,0.0540634
E09000026,Redbridge,2017,97000,0.5,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2017,107000,0.86,E09000027,51.4479,-0.326159
E09000028,Southwark,2017,316000,1.37,E09000028,51.4737,-0.0821115
E09000029,Sutton,2017,84000,0.65,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2017,318000,1.4,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2017,88000,0.47,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2017,151000,0.64,E09000032,51.4572,-0.194519
E09000033,Westminster,2017,759000,4.36,E09000033,51.4974,-0.136655
